"Coal","","","","","",""
"9.47","","","","","",""
"8.13","","","","","",""
"7.87","","","","","",""
"7.21","","","","","",""
"7.61","","","","","",""
"7.13","","","","","",""
"8.05","","","","","",""
"7.75","","","","","",""
"7.48","","","","","",""
"7.13","","","","","",""
"7.16","","","","","",""
"9.46","","","","","",""
"7.38","","","","","",""
"8.31","","","","","",""
"7.17","","","","","",""
"9.53","","","","","",""
"9.97","","","","","",""
"7.45","","","","","",""
"8.95","","","","","",""
"7.45","","","","","",""
"8.8","","","","","",""
"8.56","","","","","",""
"9.98","","","","","",""
"7.21","","","","","",""
"7.3","","","","","",""
"6.28","","","","","",""
"6.93","","","","","",""
"7.17","","","","","",""
"8.68","","","","","",""
"7.67","","","","","",""
"7.81","","","","","",""
"8.02","","","","","",""
"8.17","","","","","",""
"8.33","","","","","",""
"8.03","","","","","",""
"8.59","","","","","",""
"7.61","","","","","",""
"7.41","","","","","",""
"7.76","","","","","",""
"7.7","","","","","",""
"8.42","","","","","",""
"8.92","","","","","",""
"7.48","","","","","",""
"9.56","","","","","",""
"9.41","","","","","",""
"8.11","","","","","",""
"7.98","","","","","",""
"6.77","","","","","",""
"6.57","","","","","",""
"7.73","","","","","",""
"8.09","","","","","",""
"8.13","","","","","",""
"8.26","","","","","",""
"8.64","","","","","",""
"7.49","","","","","",""
"8.79","","","","","",""
"7.34","","","","","",""
"8.69","","","","","",""
"8.94","","","","","",""
"9.41","","","","","",""
"7.17","","","","","",""
"9.43","","","","","",""
"8.27","","","","","",""
"7.83","","","","","",""
"7.12","","","","","",""
"7.16","","","","","",""
"7.29","","","","","",""
"10.57","","","","","",""
"9.89","","","","","",""
"7.34","","","","","",""
"7.73","","","","","",""
"7.73","","","","","",""
"7.34","","","","","",""
"6.53","","","","","",""
"6.32","","","","","",""
"6.97","","","","","",""
"7.62","","","","","",""
"8.23","","","","","",""
"8.53","","","","","",""
"8.36","","","","","",""
"7.04","","","","","",""
"7.93","","","","","",""
"6.58","","","","","",""
"6.79","","","","","",""
"7.06","","","","","",""
"7.26","","","","","",""
"8.41","","","","","",""
"8.15","","","","","",""
"8.43","","","","","",""
"8.52","","","","","",""
"7.45","","","","","",""
"7.58","","","","","",""
"8.31","","","","","",""
"8.73","","","","","",""
"7.13","","","","","",""
"7.55","","","","","",""
"6.77","","","","","",""
"6.96","","","","","",""
"7.93","","","","","",""
"7.59","","","","","",""
"7.45","","","","","",""
"9.36","","","","","",""
"9.03","","","","","",""
"7.51","","","","","",""
"7.19","","","","","",""
"7.25","","","","","",""
"6.98","","","","","",""
"7.91","","","","","",""
"7.66","","","","","",""
"8.31","","","","","",""
"8.95","","","","","",""
"7.37","","","","","",""
"8.32","","","","","",""
"8.55","","","","","",""
"8.18","","","","","",""
"8.63","","","","","",""
"8.89","","","","","",""
"7.96","","","","","",""
"9.94","","","","","",""
"10.43","","","","","",""
"8.23","","","","","",""
"8.41","","","","","",""
"7.67","","","","","",""
"7.31","","","","","",""
"7.52","","","","","",""
"6.81","","","","","",""
"6.66","","","","","",""
"7.02","","","","","",""
"7.58","","","","","",""
"7.7","","","","","",""
"8.46","","","","","",""
"8.62","","","","","",""
"8.99","","","","","",""
"7.91","","","","","",""
"8.18","","","","","",""
"7.66","","","","","",""
"7.18","","","","","",""
"7.02","","","","","",""
"7.26","","","","","",""
"7.47","","","","","",""
"7.71","","","","","",""
"8.34","","","","","",""
"7.9","","","","","",""
"7.18","","","","","",""
"7.71","","","","","",""
"8.24","","","","","",""
"7.87","","","","","",""
"8.24","","","","","",""
"9.56","","","","","",""
"7.95","","","","","",""
"7.62","","","","","",""
"6.61","","","","","",""
"6.67","","","","","",""
"7.81","","","","","",""
"6.5","","","","","",""
"7.31","","","","","",""
"8.21","","","","","",""
"8.79","","","","","",""
"7.6","","","","","",""
"7.16","","","","","",""
"7.21","","","","","",""
"8.01","","","","","",""
"7.18","","","","","",""
"7.63","","","","","",""
"8.06","","","","","",""
"7.19","","","","","",""
"7.19","","","","","",""
"9.54","","","","","",""
"10.22","","","","","",""
"7.79","","","","","",""
"10.1","","","","","",""
"8.6","","","","","",""
"10.43","","","","","",""
"7.58","","","","","",""
"10.17","","","","","",""
"7.98","","","","","",""
"7.59","","","","","",""
"7.43","","","","","",""
"7.01","","","","","",""
"6.17","","","","","",""
"6.35","","","","","",""
"6.67","","","","","",""
"7.83","","","","","",""
"7.34","","","","","",""
"9.23","","","","","",""
"8.86","","","","","",""
"8.86","","","","","",""
"8.93","","","","","",""
"8.37","","","","","",""
"7.52","","","","","",""
"7.74","","","","","",""
"7.22","","","","","",""
"7.17","","","","","",""
"7.14","","","","","",""
"6.31","","","","","",""
"6.89","","","","","",""
"7.25","","","","","",""
"7.2","","","","","",""
"7.43","","","","","",""
"8.66","","","","","",""
"8.56","","","","","",""
"8.4","","","","","",""
"8.54","","","","","",""
"7.16","","","","","",""
"6.84","","","","","",""
"6.89","","","","","",""
"7.86","","","","","",""
"7.53","","","","","",""
"8.46","","","","","",""
"8.94","","","","","",""
"7.84","","","","","",""
"7.64","","","","","",""
"6.59","","","","","",""
"6.98","","","","","",""
"7.46","","","","","",""
"8.11","","","","","",""
"7.69","","","","","",""
"6.92","","","","","",""
"7.75","","","","","",""
"7.58","","","","","",""
"8.69","","","","","",""
"8.16","","","","","",""
"7.89","","","","","",""
"7.36","","","","","",""
"7.21","","","","","",""
"8.21","","","","","",""
